msisdn,tower_id,call_type,dest_nr,call_duration_sec,start_time
3294613471335,1480,video,3409677938567,957,2024-01-01 00:41:29.881480
1991364006492,913,voice,3674335087598,1507,2024-01-01 00:41:38.417993
5483132051003,1555,video,8479262751577,1665,2024-01-01 00:35:03.897835
5354856801328,185,voice,6475509271116,772,2024-01-01 00:37:49.782274
0008670968948,1026,voice,5737098200754,1120,2024-01-01 00:34:12.840513
6157839109203,1865,video,7187658893439,550,2024-01-01 00:46:51.761308
8283805052722,90,video,7205669690595,665,2024-01-01 00:39:56.904705
2989169090360,1560,video,3116684188916,1573,2024-01-01 00:46:28.544250
7550658193966,1758,video,8011136777842,729,2024-01-01 00:37:23.831550
1312894420696,85,voice,1151888810486,1674,2024-01-01 00:37:48.590859
5171244142480,372,video,2670070732014,440,2024-01-01 00:44:27.973229
7341626715544,1736,voice,9306279935115,1114,2024-01-01 00:34:43.790857
5021798507290,944,video,8452918933114,185,2024-01-01 00:50:07.606350
7478715808023,814,voice,0887420604635,1571,2024-01-01 00:34:47.245254
3759673074844,205,voice,6452599679415,456,2024-01-01 00:39:12.751199
4201959221674,1378,voice,8032218576439,408,2024-01-01 00:34:09.245811
3589296134281,715,voice,3443471449329,335,2024-01-01 00:33:58.125534
8181744276386,1508,video,0350383223466,29,2024-01-01 00:44:31.714819
2715264711107,921,voice,9146175039223,1682,2024-01-01 00:39:27.449922
4731871575445,1404,voice,6622768729735,460,2024-01-01 00:46:12.173311
4073033152198,275,voice,9004322335483,1782,2024-01-01 00:40:10.124094
9955663163840,12,video,9143552797899,1728,2024-01-01 00:36:32.412369
0857781253610,588,video,3197970130279,1219,2024-01-01 00:40:16.672477
4042107886284,1940,video,7942648574922,1715,2024-01-01 00:47:31.256486
0468600932943,1859,voice,4060169661091,1639,2024-01-01 00:46:34.206829
2397583687988,1068,voice,7828747706617,155,2024-01-01 00:37:53.456323
1731766814930,1771,video,2575262911791,929,2024-01-01 00:48:31.206367
6010704405573,861,video,9565071449067,573,2024-01-01 00:40:54.376142
4946598362104,336,voice,6450214910328,1176,2024-01-01 00:47:34.181204
4141962120972,519,voice,1459767879792,532,2024-01-01 00:38:21.654524
2019477670969,1275,voice,3426714979238,114,2024-01-01 00:48:18.190846
3960778034562,448,voice,8932047580719,1534,2024-01-01 00:37:15.949941
2376757380481,1940,video,6379298225822,732,2024-01-01 00:46:07.218127
9770159239443,607,video,5910720603063,358,2024-01-01 00:45:50.779790
4261763659609,263,voice,2317260400229,822,2024-01-01 00:35:44.147537
8034407102760,1391,voice,2768450163488,1647,2024-01-01 00:43:29.613920
0614555147691,1013,voice,0535780943423,484,2024-01-01 00:40:23.068685
2776566814507,558,video,2323113007102,1086,2024-01-01 00:41:47.519089
3348798533738,225,voice,8020607883922,1514,2024-01-01 00:33:53.311450
8378798421469,30,voice,5663036416557,663,2024-01-01 00:37:07.239670
3304644873023,881,video,6385180144411,471,2024-01-01 00:45:11.606096
9550531111071,1460,video,6527303284428,762,2024-01-01 00:43:47.586056
8392572366265,1717,voice,5347152182222,55,2024-01-01 00:37:36.595162
2436526624029,1362,voice,9719917734680,293,2024-01-01 00:46:26.197872
0369526017019,506,voice,2624723922778,1518,2024-01-01 00:49:41.175615
5778321270635,991,video,5047077973589,746,2024-01-01 00:40:03.166327
4603199207738,1635,voice,0327954612906,654,2024-01-01 00:42:50.896753
7805075075365,37,video,6466212829130,1641,2024-01-01 00:35:54.020303
5804020073217,894,voice,6728719716643,1168,2024-01-01 00:40:42.849251
8175191929673,43,voice,6703009272568,306,2024-01-01 00:47:00.903180
9569752163674,1921,video,7275244992907,667,2024-01-01 00:43:17.578558
0493306886715,1541,video,1555356833419,1465,2024-01-01 00:37:51.514864
5026125542060,794,voice,6688946512397,1259,2024-01-01 00:47:34.371271
4154445928660,226,voice,6961473158154,894,2024-01-01 00:48:16.501594
9212563927618,971,video,3699760858319,1618,2024-01-01 00:34:50.080943
6437558567765,257,voice,5210909501726,254,2024-01-01 00:39:41.814526
4075474584118,1854,voice,5791418305371,1360,2024-01-01 00:37:18.810936
3789187456554,1473,voice,8883114070730,618,2024-01-01 00:48:49.868460
1719900928419,1420,video,5657724072104,172,2024-01-01 00:44:14.680665
0799399443520,1596,voice,2418928691726,187,2024-01-01 00:43:05.266325
5085435262704,1778,video,7792002030080,1240,2024-01-01 00:47:06.005629
9528483298825,730,video,5900296301225,577,2024-01-01 00:47:29.375512
5669015992273,785,voice,1902976384852,359,2024-01-01 00:44:49.009097
2972384356019,1801,voice,8043167814562,1150,2024-01-01 00:46:07.617354
4753609240867,44,voice,7889302935641,1152,2024-01-01 00:48:06.146537
3544860332856,668,video,7623526572928,1162,2024-01-01 00:37:36.035880
5320923093783,1183,voice,9423472409263,803,2024-01-01 00:48:39.669221
4852489530475,1038,voice,6040980394092,525,2024-01-01 00:47:27.443984
6054645682918,1122,voice,0089340725885,1505,2024-01-01 00:39:23.139197
3640921202559,274,voice,6946062661650,836,2024-01-01 00:35:11.838003
3813318588880,8,voice,7323347917648,410,2024-01-01 00:41:15.983455
6646097775348,1612,video,9472050626270,84,2024-01-01 00:46:20.621275
4928626523165,1599,video,1345412134926,1612,2024-01-01 00:41:03.718981
6442017294234,1938,voice,8664863899989,501,2024-01-01 00:40:09.422619
8732650264035,1034,voice,8192379465715,1517,2024-01-01 00:48:39.984333
3173710858661,1929,voice,1239295443987,1524,2024-01-01 00:44:00.035848
1655594230021,1810,video,7939839119452,1756,2024-01-01 00:36:31.687940
0436193368472,367,video,4574822791012,1523,2024-01-01 00:37:39.707953
5440662241817,1797,voice,0306739636155,812,2024-01-01 00:40:51.355768
8373196993764,918,video,0281253997894,565,2024-01-01 00:34:15.151472
2013916630326,1317,video,4551139707058,1423,2024-01-01 00:43:17.266621
4653238186480,839,voice,7684707823887,250,2024-01-01 00:34:05.351373
7077827761910,322,voice,4423748210685,536,2024-01-01 00:48:29.881654
0156699275418,1500,voice,0795919167998,1387,2024-01-01 00:45:28.433984
6974742469493,928,video,7688798267022,1067,2024-01-01 00:33:37.960086
8937830849015,402,video,9728414414216,1315,2024-01-01 00:40:09.329823
9558195363607,406,video,1613518449970,1611,2024-01-01 00:35:05.219204
4852013647813,161,video,2874388986233,571,2024-01-01 00:43:28.060314
2479431300974,342,voice,2646632765588,1434,2024-01-01 00:47:27.325285
7334320510823,142,voice,4187752233522,1431,2024-01-01 00:44:45.557887
5080347315913,1849,video,0144085645587,521,2024-01-01 00:49:40.490684
2817553027582,1462,video,5764081140080,1660,2024-01-01 00:43:22.542600
8984366685606,1580,voice,2369495703133,918,2024-01-01 00:47:40.420227
3680487448668,1721,voice,0204800255776,1472,2024-01-01 00:43:37.602718
8051069037335,782,video,1195008637811,102,2024-01-01 00:37:35.478296
7933902949611,84,video,3560715058057,1513,2024-01-01 00:44:42.881492
6074717772607,339,voice,1262691810527,1492,2024-01-01 00:39:05.779720
7366663089284,1839,voice,0369322343912,955,2024-01-01 00:46:31.252435
4034671000862,92,voice,4022687040015,1276,2024-01-01 00:34:19.247935
9237202016708,552,voice,5581464145060,774,2024-01-01 00:36:43.713760
3520385348353,793,video,7325490406198,1564,2024-01-01 00:49:27.009470
4944507277830,241,voice,9032968863238,155,2024-01-01 00:43:49.843456
3623132627567,1860,voice,6980804995908,1464,2024-01-01 00:37:43.762422
9015252371518,1705,video,3795200731062,1399,2024-01-01 00:41:53.853467
0563834976961,769,video,7829540504129,1136,2024-01-01 00:43:01.234586
8214353979460,409,video,8026074604246,1427,2024-01-01 00:49:00.001677
4864838314693,263,voice,9120828431851,908,2024-01-01 00:42:56.442790
7044532752200,1753,video,4624988276397,670,2024-01-01 00:43:53.201540
6166292279363,199,voice,1701727432731,243,2024-01-01 00:43:40.303514
5212308087373,1942,video,9164432835114,1043,2024-01-01 00:34:17.019304
0523191325418,700,voice,4404454573209,1158,2024-01-01 00:35:33.670615
8154233592622,1353,video,6742442657103,1203,2024-01-01 00:42:30.518289
6488728924266,1958,video,1691337768391,376,2024-01-01 00:46:47.093893
0269029913968,498,voice,4571099700728,320,2024-01-01 00:43:34.644899
2230682763310,1462,voice,5119828199300,247,2024-01-01 00:46:06.513594
0713119780898,860,video,6441868426254,1076,2024-01-01 00:42:37.251292
0432722478517,1219,video,6831694194898,335,2024-01-01 00:36:24.499872
4782515981910,449,video,1870023352945,26,2024-01-01 00:35:35.553292
5108701163287,1499,voice,5067088368950,83,2024-01-01 00:37:34.910012
9639544753111,1243,voice,1323700507451,615,2024-01-01 00:41:10.441153
2628063680583,732,voice,9581478883828,222,2024-01-01 00:33:58.260058
3458040200076,989,video,0673890263999,577,2024-01-01 00:36:28.308519
8267361119338,771,video,8150554723004,1520,2024-01-01 00:43:32.375491
1485920448291,623,video,9748360522307,210,2024-01-01 00:47:03.718199
1721496830237,286,voice,7049251526921,1316,2024-01-01 00:49:30.412704
1476463057452,465,voice,4112673844474,627,2024-01-01 00:48:36.681519
6555103873395,896,voice,7883373365114,857,2024-01-01 00:34:37.144530
5045916961042,951,video,5516983037411,1116,2024-01-01 00:35:35.249323
7211681035493,1067,voice,7880334109890,1614,2024-01-01 00:34:35.927361
4131039799034,1644,video,7861755218398,1473,2024-01-01 00:38:38.858556
2076861651816,650,voice,6123283266335,465,2024-01-01 00:36:58.058777
2450333518958,1948,video,8113890596825,1499,2024-01-01 00:40:30.226438
0144973364086,115,video,4683834001384,1625,2024-01-01 00:34:31.787932
6524066768158,971,voice,9277647079071,120,2024-01-01 00:41:15.914702
6012569384388,1092,video,4162500427433,747,2024-01-01 00:38:28.534461
8702123953858,1691,voice,3882765908691,207,2024-01-01 00:43:17.616058
9858776360638,550,video,3747290742604,1706,2024-01-01 00:42:58.002883
7435216675497,1740,video,3084701810312,1140,2024-01-01 00:38:32.810695
2940384789760,493,video,3292249997314,357,2024-01-01 00:34:10.064157
5027373224907,1157,voice,4445325892859,1180,2024-01-01 00:42:03.366596
4307239184337,925,video,6672734668751,462,2024-01-01 00:35:24.121370
1904027729471,1314,voice,7706389897941,1373,2024-01-01 00:36:11.687001
0996774930231,1254,voice,4045744286709,689,2024-01-01 00:39:20.907865
2648443037291,100,voice,9362367819843,1554,2024-01-01 00:44:19.767236
9851893906344,130,video,4018247268024,1053,2024-01-01 00:35:05.738755
3527356705917,1290,voice,7353066950980,546,2024-01-01 00:34:19.426258
6189450211489,957,voice,5844401110507,930,2024-01-01 00:47:43.744911
1599043441020,975,voice,2837054389771,1322,2024-01-01 00:47:06.618263
0688101173443,1865,video,1899003132334,1115,2024-01-01 00:42:08.991249
5638818995916,73,video,6777785580832,1537,2024-01-01 00:35:37.441503
4794755191383,1604,video,6759017693176,352,2024-01-01 00:43:06.422833
9631105786980,747,video,7890419354762,1370,2024-01-01 00:44:40.835616
9880174378920,888,video,3738115753055,563,2024-01-01 00:41:46.303590
4686930181837,1983,video,2804523147868,1448,2024-01-01 00:48:55.137528
1101021939886,173,voice,1807056234123,71,2024-01-01 00:43:16.059780
5409487095883,1536,video,8924747462762,1197,2024-01-01 00:39:35.002981
9758887169228,631,video,4565305151709,1430,2024-01-01 00:35:13.441858
1345571868385,1217,voice,4394383767965,1043,2024-01-01 00:49:47.280545
0447585415184,1327,video,8642079692283,1573,2024-01-01 00:44:16.306212
0472156534568,135,voice,1217184621044,1355,2024-01-01 00:41:12.287709
9486402529866,1156,video,0730881323542,489,2024-01-01 00:49:56.101313
4636806323001,1111,video,3382348716669,634,2024-01-01 00:42:07.045989
0357606221742,1794,voice,4158986926729,1199,2024-01-01 00:44:47.856763
4758702346605,581,video,6919453410321,1417,2024-01-01 00:35:12.895460
7484556074273,777,voice,1795526949191,502,2024-01-01 00:49:11.464815
1315552698700,1795,video,0112994163496,267,2024-01-01 00:35:29.786447
8955944657768,146,video,2319361838377,171,2024-01-01 00:44:57.592690
0539100371539,1794,video,3587453011739,1691,2024-01-01 00:39:39.062507
8526483660353,1243,voice,6887380993877,771,2024-01-01 00:36:02.633386
3496868296319,787,voice,0417231439842,878,2024-01-01 00:45:11.031860
